Character,Line
CERSEI,He should be with his grandfather his brother his sister. Burn him and bury his ashes where the sept once stood.
EXT. OLDTOWN - OUTSKIRTSA horse-drawn carriage moves down the road then stops. SAM and GILLY emerge from behind it. GILLY is carrying LITTLE SAM. They walk to a nearby hill look out over a lake. Oldtown stands across the lake. SAM and GILLY marvel at it.CUT TO,THE CITADELSAM and GILLY enter and walk to the front desk. A maester is sitting behind the desk holding spectacles up to his eyes and reading.
SAM,Hello.The maester keeps reading and then looks up at SAM removing his spectacles.
SAM,From Lord Commander Snow at Castle Black.SAM holds up a letter. The maester puts down his spectacles and opens his palm. SAM reaches across the table with the letter offering it to the maester. The maester does not retrieve it. SAM presses himself against the desk leans further in and places the letter directly in the maesters hand. The maester takes the letter breaks the seal
SAM,Im-- Im to be the new maester.The maester looks at SAM and then opens a large book. He flips a few pages.
MAESTER,Oh.The maester points his finger to a line of text on the open page.
MAESTER,According to our records Jeor Mormont is Lord Commander.
SAM,He died.
MAESTER,We received no report from the maester at Castle Black.
SAM,Maester Aemon became quite ill shortly after the election. Hes since passed away. Which is why Im here.
MAESTER,This is irregular.
SAM,Yes well I suppose that life is irregular.The maester stares blankly at SAM then picks up a quill and crosses off two lines of text in the open book.
MAESTER,The archmaester will discuss these irregularities with you. In the meantime you are permitted to use the library. Follow me.The maester stands and begins walking away. SAM and GILLY start to follow him. He turns back and looks at GILLY.
MAESTER,No women or children!The maester turns and walks away. SAM makes several baffled gestures to GILLY and then follows the maester. They enter a small hallway full of books. The maester stops in front of a dark side passage and gestures towards it. SAM starts down the passage. The maester leaves. On his way through SAM touches several of the books lining the shelves. SAM emerges onto the other side of the passage. The passage opens onto an enormous library with a chandelier dangling from the ceiling that reflects light. SAM gets teary and smiles.
EXT. WINTERFELL - OUTSKIRTSA white raven flies over the Northern wilderness towards Winterfell.CUT TO,WINTERFELL - DINING HALLJON SNOW is standing behind the high table staring across the hall. MELISANDRE stands by his side.
JON SNOW,When we had feasts our family would sit up here<85> and Id sit down there.JON SNOW points to the other end of the hall.
MELISANDRE,Could have been worse Jon Snow. You had a family. You had feasts.JON SNOW chuckles.
JON SNOW,Aye youre right. I was luckier than most.DAVOS enters the hall and tosses the charred stag statuette at MELISANDRE. MELISANDRE catches it.
JON SNOW,What is that?
DAVOS,Tell him. Tell him who it belonged to.
MELISANDRE,The Princess Shireen.
DAVOS,Tell him what you did to her. Tell him!
MELISANDRE,We burned her at the stake.
DAVOS,Why?
MELISANDRE,The army was trapped. The horses were dying. It was the only way.
DAVOS,You burned a little girl alive!
MELISANDRE,I only do what my Lord commands!
DAVOS,If he commands you to burn children your Lord is evil!
MELISANDRE,We are standing here because of him. Jon Snow is alive because the Lord willed it.
DAVOS,I loved that girl like she was my own. She was good. She was kind. And you killed her!
MELISANDRE,So did her father. So did her mother. Her own blood knew it was the only way.
DAVOS,The only way for what? They all died anyway! You told everyone Stannis was the one. You had him believing it all of them fooled. And you lied.
MELISANDRE,I didnt lie. I was wrong.
DAVOS,Aye you were wrong. How many died because you were wrong?DAVOS and MELISANDRE stare at each other in silence.
DAVOS,I ask your leave to execute this woman for murder. She admits to the crime.
JON SNOW,Do you have anything to say for yourself?
MELISANDRE,Ive been ready to die for many years. If the Lord was done with me so be it but hes not. Youve seen the Night King Jon Snow. You know the great war is still to come. You know the army of the dead will be upon us soon. And you know I can help you win that war.JON SNOW approaches MELISANDRE.
JON SNOW,Ride south today. If you return to the North Ill have you hanged as a murderer.MELISANDRE puts the stag statuette down on the high table and begins to walk away. DAVOS moves in her way.
DAVOS,If you ever come back this way I will execute you myself.MELISANDRE moves past DAVOS and exits.CUT TO: WINTERFELL - OUTER WALLJON SNOW stands atop the outer wall watching MELISANDRE ride south on her horse. SANSA appears.
JON SNOW,Im having the lords chamber prepared for you.
SANSA,Mother and Fathers room? You should take it.
JON SNOW,Im not a Stark.
SANSA,You are to me.
JON SNOW,Youre the Lady of Winterfell. You deserve it. Were standing here because of you. The battle was lost until the Knights of the Vale rode in. They came because of you. You told me Lord Baelish sold you to the Boltons.
SANSA,He did.
JON SNOW,And you trust him?
SANSA,Only a fool would trust Littlefinger. I should have told you about him about the Knights of the Vale. Im sorry.JON SNOW approaches SANSA.
JON SNOW,We need to trust each other. We cant fight a war amongst ourselves. We have so many enemies now.JON SNOW touches SANSAs face and kisses her on the forehead then turns to walk away.
SANSA,Jon.JON SNOW turns back to face SANSA.
SANSA,A raven came from the Citadel. A white raven. Winter is here.JON SNOW smiles and looks up at the sky.
JON SNOW,Well Father always promised didnt he?JON SNOW exits. SANSA looks out at the wilderness.
OLENNA,The last time a Tyrell came to Dorne he was assassinated. 100 red scorpions was it?
ELLARIA,You have nothing to fear from us Lady Olenna.
OLENNA,You murder your own prince but you expect me to trust you?
OBARA,We invited you to Dorne because we needed your help. You came to Dorne because you needed our help?
OLENNA,What is your name again? Barbaro?
OBARA,Obara.
OLENNA,Obara. You look like an angry little boy. Dont presume to tell me what I need.
NYMERIA,Forgive my sister. What she lacks in diplomacy she makes--
OLENNA,Do shut up dear.OLEN looks at TYENE.
OLENNA,Anything from you?TYENE opens her mouth to speak.
OLENNA,No? Good. Let the grown women speak.
ELLARIA,The Lannisters have declared war on House Tyrell. They have declared war on Dorne. We must be allies now if we wish to survive.
OLENNA,Cersei stole the future from me. She killed my son. She killed my grandson. She killed my granddaughter. Survival is not what Im after now.
ELLARIA,Youre absolutely right. I chose the wrong words. It is not survival I offer. It is your hearts desire.ELLARIA rings a bell.
OLENNA,And what is my hearts desire?
ELLARIA,Vengeance. Justice.VARYS emerges from a hallway.
VARYS,Fire and blood.
DAARIO,Your ships are nearly ready. I saw them painting the sails.DAARIO pours himself a glass of wine.
DAARIO,Im curious to see how the Dothraki do on the poison water.
DAENERYS,Youre not coming with us.
DAARIO,New strategy? You want the Second Sons to attack from the west coast? If we take Casterly Rock the Lannisters will have nowhere to run when you hit Kings Landing.DAARIO approaches DAENERYS and stands in front of her.
DAENERYS,Youre not going to Westeros. Youre staying here with the Second Sons. Theres finally peace in Meereen. You will keep the peace while the people choose their own leaders.DAARIO sets his glass of wine down on a table.
DAARIO,Fuck Meereen. Fuck the people. Im here for you not them.
DAENERYS,You promised me. <93>My sword is yours. My life is yours.<94> This is what I command. If Im going to rule in Westeros Ill need to make alliances. The best way to make alliances is with marriage.DAARIO sits down.
DAARIO,Who are you marrying this time?
DAENERYS,I dont know. Maybe no one.
DAARIO,But you need to lure all the noble houses to the table? Are you a queen or fish bait?
DAENERYS,I cant bring a lover to Westeros.
DAARIO,A king wouldnt think twice about it.
DAENERYS,So thats what you want? To be my mistress?
DAARIO,Im not proud. I dont care what perfumed aristocrat sits beside you in the throne room. I dont want a crown. I want you.DAARIO approaches DAENERYS and kneels in front of her.
DAARIO,I love you. And I make you happy. You know I do. Bring me with you. Let me fight for you.DAENERYS touches DAARIOs face.
DAENERYS,I cant.DAARIO stands.
DAARIO,The dwarf told you to do this.
DAENERYS,No one tells me to do anything.
DAARIO,Clever fellow. Cant argue with his logic. Im no use to you over there.
DAENERYS,Dont get angry.
DAARIO,Im not angry. Im full of self-pity. Who comes after you? Who can ever follow Daenerys Stormborn the Mother of Dragons?
DAENERYS,A great number of women I imagine. Specific orders will be left for you regarding the welfare of Meereen and the Bay of Dragons.DAENERYS stands.
DAARIO,Bay of Dragons?
DAENERYS,We cant call it Slavers Bay anymore can we?
DAARIO,Youll get that throne you want so badly Im sure of it. I hope it brings you happiness.DAARIO sips his wine.
DAARIO,I pity the lord of Westeros. They have no idea whats coming for them.
DAENERYS,Farewell Daario Naharis.DAARIO nods and exits.CUT TO: MEEREEN - GREAT PYRAMID THRONE ROOMTYRION is sitting off to the side of the room on a bench. DAENERYS enters walking down the steps from the throne.
TYRION,How did he take it?
DAENERYS,No tears.
TYRION,I know it was hard for you. You turned away a man who truly loves you because he would have been a liability in the Seven Kingdoms. Thats the kind of self-sacrifice that makes for a good ruler if its any consolation.DAENERYS reaches the bottom of the steps and approaches TYRION.
DAENERYS,Its not.
TYRION,No I suppose not. Im terrible at consoling.DAENERYS sits down on the bench next to TYRION.
DAENERYS,Yes you really are.
TYRION,All right how about the fact that this is actually happening? You have your armies you have your ships you have your dragons. Everything youve ever wanted since you were old enough to want anything. Its all yours for the taking. Are you afraid?DAENERYS nods.
TYRION,Good. Youre in the great game now. And the great games terrifying. The only people who arent afraid of failure are madmen like your father.
DAENERYS,Do you know what frightens me? I said farewell to a man who loves me. A man I thought I cared for. And I felt nothing. Just impatient to get on with it.
TYRION,He wasnt the first to love you and he wont be the last.
DAENERYS,Well you have completely failed to console me.DAENERYS stands and turns to face TYRION.
TYRION,For what its worth Ive been a cynic for as long as I can remember. Everyones always asking me to believe in things-- family gods kings myself. It was often tempting until I saw where belief got people. So I said no
TYRION,I believe in you. Its embarrassing really. Id swear you my sword but I dont actually own a sword.
DAENERYS,Its your counsel I need.
TYRION,Its yours. Now and always.
DAENERYS,Good. I um<85> I had something made for you. Im not sure if its right.DAENERYS pins a Hand of the Kings brooch on TYRIONs chest.
DAENERYS,Tyrion Lannister I name you Hand of the Queen.TYRION holds back tears then kneels.
WALDER,Youre not one of mine are you?
HANDMAIDEN,No my lord.
WALDER,Didnt think so. Too pretty.WALDER slaps the handmaiden on the buttocks and smiles.
WALDER,Where are my damn moron sons? Black Walder and Lothar promised to be here by midday.
HANDMAIDEN,Theyre here my lord.
WALDER,Well what are they doing trimming their cunt hairs? Tell them to come here now.HANDMAIDEN: But theyre already here my lord.WALDER looks around the hall. The handmaiden points to the pie.
HANDMAIDEN,Here my lord.WALDER pulls back the top layer of the pie. A finger protrudes from the center of the slice.
HANDMAIDEN,They werent easy to carve. Especially Black Walder.WALDER breathes heavily.
WALDER,What<85>The handmaiden reaches up to her face and pulls it away revealing her true identity is ARYA.ARYA: My name is Arya Stark. I want you to know that. The last thing youre ever going to see is a Stark smiling down at you as you die.ARYA brandishes a knife. WALDER gets up to run but ARYA grabs him and pulls him back down. She grabs him by the forehead and slits his throat. He convulses and groans as he dies. ARYA smiles and stares at him.
PETYR,Forgive me my lady<85> if youre at prayer.
SANSA,Im done with all that. I came here every day when I was a girl. I prayed to be somewhere else. Back then I only ever thought about what I wanted never about what I had.SANSA stands and walks towards PETYR.
SANSA,I was a stupid girl.
PETYR,You were a child.
SANSA,What do you want?
PETYR,I thought you knew what I wanted.
SANSA,I was wrong.
PETYR,No you werent. Every time Im faced with a decision I close my eyes and see the same picture. Whenever I consider an action I ask myself will this action help to make this picture a reality? Pull it out of my mind and into the world? And I only act if the answer is yes. A picture of me on the Iron Throne<85> and you by my side.PETYR leans in to kiss SANSA but SANSA puts her hand on his chest to stop him.
SANSA,Its a pretty picture.SANSA walks past PETYR.
PETYR,News of this battle will spread quickly through the Seven Kingdoms. Ive declared for House Stark for all to hear.
SANSA,Youve declared for other houses before Lord Baelish. Its never stopped you from serving yourself.
PETYR,The past is gone for good. You can sit here mourning its departure or you can prepare for the future. You my love are the future of House Stark. Who should the North rally behind? A trueborn daughter of Ned and Catelyn Stark born here at Winterfell or a motherless bastard born in the south?SANSA exits.
BENJEN,This is where I leave you.
MEERA,Youre not coming with us?
BENJEN,The Wall is not just ice and stone. Ancient spells were carved into its foundations. Strong magic to protect men from what lies beyond. And while it stands the dead cannot pass. I cannot pass.BENJEN approaches his horse and lifts BRAN off of it. He carries BRAN to the foot of a nearby weirwood then walks back to his horse.
MEERA,Where will you go?
BENJEN,The great war is coming and I still fight for the living. Ill do what I can<85> as long as I can.BENJEN mounts his horse.
BRAN,Thank you Uncle Benjen.
BENJEN,I wish you both good fortune.BENJEN rides away. BRAN looks at the weirwood and then starts to crawl towards it. MEERA helps him. BRAN reaches out to the weirwood but MEERA grabs his wrist.
MEERA,Are you sure youre ready for this?
LYANNA,Ned?
NED,Lyanna.NED rushes to LYANs side.
LYANNA,Is that you? Is that really you?LYAN lifts her hand. NED takes it.
LYANNA,Youre not a dream.
NED,No Im not a dream. Im here. Right here.
LYANNA,Ive missed you big brother.NED begins to cry.
NED,Ive missed you too.
LYANNA,I want to be brave.
NED,Shh. You are.
LYANNA,Im not.NED lifts his hand from LYANs stomach. His palm is covered in blood.
LYANNA,I dont want to die.
NED,Youre not going to die.NED looks at the handmaiden.
NED,Get her some water!
LYANNA,No no water.
NED,Is there a maester?
LYANNA,Please. Listen to me Ned.LYAN whispers in NEDs ear.LYAN: If Robert finds out hell kill him you know he will. You have to protect him. Promise me Ned. Promise me.The handmaiden hands NED the child.
LYANNA,Promise me Ned. Promise me.NED stares down at the baby. The baby opens its eyes. Zoom on the babys face.
VALE KNIGHT,You cant expect Knights of the Vale to side with wildling invaders.
TORMUND,We didnt invade. We were invited.
VALE KNIGHT,Not by me.JON SNOW stands.
JON SNOW,The free folk the northerners and the Knights of the Vale fought bravely fought together and we won. My father uses to say we find our true friends on the battlefield.One of the houses representatives stands.
MAN,The Boltons are defeated. The war is over. Winter has come. If the maesters are right itll be the coldest one in a thousand years. We should ride home and wait out the coming storms.
JON SNOW,The war is not over. And I promise you friend the true enemy wont wait out the storm. He brings the storm.The men begin to murmur. LYAN MORMONT stands.
LYANNA,Your son was butchered at the Red Wedding Lord Manderly. But you refused the call. You swore allegiance to House Stark Lord Glover but in their hour of greatest need you refused the call. And you
MANDERLY,Lady Mormont speaks harshly and truly. My son died for Robb Stark the Young Wolf. I didnt think wed find another king in my lifetime. I didnt commit my men to your cause <91>cause I didnt want more Manderlys dying for nothing. But I was wrong. Jon Snow avenged the Red Wedding. He is the White Wolf. The King in the North.MANDERLY draws his blade then rests it point-down on the ground and kneels. LORD GLOVER stands.
GLOVER,I did not fight beside you on the field and I will regret that until my dying day. A man can only admit when he was wrong and ask forgiveness.
JON SNOW,Theres nothing to forgive my lord.
GLOVER,There will be more fights to come. House Glover will stand behind House Stark as we have for a thousands years. And I will stand behind Jon Snow<85> the King in the North!GLOVER draws his blade then rests it point-down on the ground and kneels.
GLOVER,The King in the North!Everyone in the hall stands and draws their blades.
ALL,The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North!JON SNOW stands. SANSA and PETYR look at each other.
JAIME,Come on.JAIME rides on.CUT TO: RED KEEP - THRONE ROOMCERSEI enters escorted by GREGOR and the Kingsguard. The room is full of nobles and city soldiers. QYBURN stands next to the Iron Throne holding a crown. CERSEI and GREGOR approach the throne. CERSEI stands in front of the throne. JAIME enters through a side passage and watches.
QYBURN,I now proclaim Cersei of the House Lannister First of Her Name Queen of the Andals and the First Men Protector of the Seven Kingdoms.QYBURN places the crown on CERSEIs head. CERSEI sits in the Iron Throne. She and JAIME look at each other.
QYBURN,Long may she reign.
ALL,Long may she reign.
WALDER FREY,You're wonder why I brought you all here. After all
WALDER FREY,Well
WALDER FREY,I've gathered every Frey who means a damn thing so I can tell you my plans for this great house now that winter has come. But first
WALDERY FREY,Stand together!The Freys stand in unison.
ALL,Stand together!The Freys drink. WALDER holds his cup to his lips but does not drink. The servant girl picks up her cup and motions to drink.
WALDER,Not you. I'm not wasting good wine on a damn woman.WALDER addresses the hall again.
WALDER,Maybe I'm not the most pleasant man. I'll admit it. But I'm proud of you lot. You're my family
WALDER,Yes
WALDER,No
WALDER,Leave one wolf alive and the sheep are never safe.The Freys collapse and die. WALDER takes hold of his own face and removes it
ARYA,When people ask you what happened here
EDD,You wildlings?
MEERA,I'm Meera Reed
EDD,How do I know that's true?BRAN raises his head and stares at EDD.
BRAN,You were at the Fist of the First Men. You were at Hardhome. You've seen the Army of the Dead. You've seen the Night King. He's coming for us. For all of us.EDD pauses and looks down
EDD,Okay
JON,I want every northern maester to scour their records for any mention of dragonglass. Dragonglass kills white walkers. It's more valuable to us now than gold. We need to find it
ROBETT,It's about time we taught these boys of summer how to fight.The northern lords laugh.
JON,Not just the boys.BRIENNE looks at JON.
JON,We can't defend the North if only half the population is fighting.ROBETT stands.
ROBETT,You expect me to put a spear in my granddaughter's hand?LYAN stands.
LYANNA,I don't plan on knitting by the fire while men fight for me. I might be small
ROBETT,Indeed you are
LYANNA,And I don't need your permission to defend the North.DAVOS smiles. LYAN turns to JON.
LYANNA,We'll begin training every man
JON,While we're preparing for attack
JON,But if we're going to survive this winter together...TORMUND grunts and stands.
TORMUND,You want us to man the castles for you?The men murmur.
JON,Last time we saw the Night King was at Hardhome. The closest castle to Hardhome is Eastwatch-by-the-Sea.
TORMUND,Then that's where I'll go. Looks like we're the Night's Watch now.TORMUND sits.
JON,If they breach the wall
YOHN,The Umbers and the Karstarks betrayed the North. Their castles should be torn down with not a stone left standing.
SANSA,The castles committed no crimes. And we need every fortress we have for the war to come. We should give the Last Hearth and Karhold to new families
ALL,Aye!YOHN sits.
JON,The Umbers and the Karstarks have fought beside the Starks for centuries. They've kept faith for generation after generation.
SANSA,And then they broke faith.
JON,I'm not going to strip these families of their ancestral homes because of the crimes of a few reckless sons.
SANSA,So there's no punishment for treason and no reward for loyalty?The hall goes silent.
JON,The punishment for treason is death. Smalljon Umber died on the field of battle. Harald Karstark died on the field of battle.
SANSA,They died fighting for Ramsay. Give the castles to the families of the men who died fighting for you.The men chatter and pound the tables.
JON,When I was Lord Commander of the Night's Watch I executed men who betrayed me. I executed men who refused to follow orders. My father always said
SANSA,What does she want?
JON,Come to King's Landing. Bend the knee or suffer the fate of all traitors.
SANSA,You've been so consumed with the enemy to the north
JON,I'm consumed with the Night King because I've seen him. And believe me
SANSA,We still have a wall between us and the Night King. Theres nothing between us and Cersei.
JON,There's a thousand miles between us and Cersei. Winter is here. The Lannisters are a southern army. They've never ranged this far north.SANSA: You're the military man
JON,You almost sound as if you admire her.
SANSA,I learned a great deal from her.
JAIME,What is this?
CERSEI,Its what we've been waiting for our whole lives. It's what Father trained us for
JAIME,He knew it. Made me memorize every damn city
CERSEI,It's ours now
CERSEI,You've been quiet since you came home. Are you angry with me?
JAIME,No
CERSEI,Are you afraid of me?
JAIME,Should I be?
CERSEI,Daenerys Targaryen has chosen Tyrion to be her Hand. Right now
JAIME,Dragonstone.JAIME approaches the depiction of Dragonstone in the mural and stands over it.
JAIME,They have deep-water ports for the ships. Stannis left the castle unoccupied
CERSEI,Enemies to the east.CERSEI walks towards Dorne on the mural.
CERSEI,Enemies to the south--Ellaria Sand and her brood of bitches.CERSEI walks towards Highgarden on the mural.
CERSEI,Enemies to the west--Olenna
CERSEI,Enemies to the north. Ned Stark's bastard has been named King in the North and that murdering whore Sansa stands beside him. Enemies everywhere. We're surrounded by traitors. You're in command of the Lannister army now. How do we proceed?
JAIME,Winter is here. We can't win a war if we can't feed our men and our horses. The Tyrells have the grain
CERSEI,Will the Tyrell bannermen stand alongside a Dothraki horde and Unsullied slave soldiers?
JAIME,If they think Daenerys will win. No one wants to fight on the losing side. Right now
CERSEI,I'm the Queen of the Seven Kingdoms.
JAIME,Three kingdoms
CERSEI,I understand we're in a war for survival. I understand whoever loses dies. I understand whoever wins could launch a dynasty that lasts a thousand years.
JAIME,A dynasty for whom? Our children are dead. We're the last of us.
CERSEI,A dynasty for us
JAIME,We never talked about Tommen.CERSEi turns and walks to a nearby table and pours herself a glass of wine.
CERSEI,There's nothing to say.
JAIME,Our baby boy killed himself.
CERSEI,He betrayed me. He betrayed us both. Should we spend our days mourning the dead--mother
JAIME,Cersei--CERSEI: I loved them. I did. But they're ashes now and we're still flesh and blood. We're the last Lannisters
JAIME,Even Lannisters can't survive without allies. Where are our allies now? You saw what happened to Walder Frey and his family.
CERSEI,I heard. How could we ever trust a man like that?
JAIME,We couldn't. He was a useless
CERSEI,You think I listened to Father for 40 years and learned nothing?CUT TO: KING'S LANDING - BLACKWATER BAYShips bearing the kraken sigil of House Greyjoy are sailing into port. CERSEI and JAIME watch the boats from the shore
JAIME,The Greyjoys? You invited the Greyjoys to King's Landing?
CERSEI,Not all of them.
JAIME,Well
CERSEI,I invited Euron Greyjoy
JAIME,How are they better allies? How are they different from the Freys? They both broke their promises and murdered their former friends as soon as it suited them.
CERSEI,So does everyone when it suits them. Unlike the Freys
JAIME,They're not good at anything. I know the Ironborn. They're bitter
CERSEI,Euron Greyjoy didn't come here for that.
JAIME,Oh
CERSEI,A queen.CERSEI exits
EURON,The moment I was chosen Lord of the Iron Islands
EURON,It's nothing compares to the treason you suffered at the hands of a family members
JAIME,You're not a rightful monarch
JAIME,The Greyjoys rebelled agains the throne for the right to be monarchs
EURON,I remember very well. I saw you. I heard so much talk. The best in the world. No one can stop him. I didn't believe it
JAIME,The people I was cutting down were your own kin.
EURON,The place was getting crowded. I enjoyed watching it. I truly did.
JAIME,And I enjoyed killing Greyjoys.
EURON,A good thing for me. If you hadn't crushed us
CERSEI,If not the most humble.
EURON,You're not humble. You're the queen of a great nation. You don't care about the Iron Islands. They're nothing but rocks and bird shit and--and a lot of very unattractive people. The Iron Fleet
CERSEI,What do you want in return?
EURON,Ever since I was a little boy
CERSEI,I decline your proposal.
EURON,Why?
CERSEI,You're not trustworthy. You've broken promises to allies before and murdered them at the nearest opportunity. You murdered your own brother.
EURON,You should try it. Feels wonderful.EURON chuckles. JAIME looks at CERSEI.
EURON,I don't expect you to trust me outright. You need proof of my honest intentions. In my experience
INT. OLDTOWN - CITADEL LIBRARYSAMWELL TARLY places books on the shelves.CUT TO,OLDTOWN - CITADEL BEDROOMSAM retrieves a bedpan from beneath one of the beds. He gags.CUT TO: OLDTOWN - CITADEL TOILETSAM opens the lid of the toilet. He coughs
MARWYN,Ah
MARWYN,Weigh that.SAM walks over to the scales.
MARWYN,The triumph of transitory pleasures. Mankind's curse.SAM puts the liver on one side of the scale and places weights on the other side.
SAM,Archmaester
MARWYN,What's the weight?
SAM,Um
SAM,I was wondering if you had considered my proposition.
MARWYN,I don't remember your proposition.
SAM,I asked you if
MARWYN,That area is reserved for maesters. Are you a maester?
SAM,No.
MARWYN,Not a very strong proposition
SAM,Archmaester
MARWYN,Everyone in the Citadel doubts everything. It's their job. But the tales of the Long Night can't be pure fabrication. Too many similarities from unconnected sources.
SAM,Sources in the restricted area?
MARWYN,The very same. And the simplest explanation for your grating obsession with the white walkers is that you're telling the truth and that you saw what you say you saw.
SAM,So
MARWYN,I do. You'll finish weighing that heart?
SAM,That makes you the only person south of the Twins who does.
MARWYN,We're not lie the people south of the Twins. And we're not like the people north of the Twins. In the Citadel
MARWYN,Be a good lad. Clean this up.MARWYN exits. SAM stares at the body.CUT TO: OLDTOWN - CITADEL BEDROOMSAM rolls in a cart of clean bedpans. He walks over to a sleeping maester and grabs a ring of keys fro his bedside table.CUT TO: OLDTOWN - CITADEL LIBRARYSAM opens the gate
BRIENNE,Nope.They reset. POD advances and they exchange several sword blows but POD missteps again and BRIENNE tags him on the behind. POD grunts.
BRIENNE,Nope.TORMUND approaches and stares at BRIENNE. BRIENNE looks at him. POD catches her off guard and tags her shoulder with his blade. She punches him in his gut and tosses him in the snow. TORMUND looks at POD.
TORMUND,You're a lucky man.PETYR BAELISH and SANSA stand on a walkway above the courtyard
PETYR,I've heard she beat the Hound in single combat. She's a very impressive woman.
SANSA,What do you want
PETYR,I want you to be happy. I want you to be safe.
SANSA,I am safe. I'm at home
PETYR,What about happy? Why aren't you happy? What do you want that you do not have?
SANSA,At the moment
SANSA,No need to seize the last word
PETYR,My lady.PETYR looks at SANSA.
PETYR,My lady.PETYR walks down the steps and into the courtyard.
BRIENNE,Why is he still here?SANSA sighs.
SANSA,We need his men. Without the Vale
BRIENNE,He wants something.
SANSA,I know exactly what he wants.
EXT. RIVERLANDS - FORESTARYA is riding a horse through the forest. She happens upon a group of Lannister soldiers sitting by a fire.MAN,He rode through the streets of the city / Down from his hill on high / O'er the winds and the steps and the cobble / He rode to a woman's sigh / For she was his secret treasure / She was his shame and his bliss / And a chain and a keep are nothing / Compared to a woman's kiss / For hands of gold are always cold / But a woman's hands are warm / For hands of gold are always cold / But a woman's hands are--ARYA's horse neighs. The men turn to look at her. One stands.
ARYA,That's a pretty song. I've never heard it before.
MAN,It's a new one.
MAN #2,Are you hungry? We've got some rabbit.
ARYA,I don't want to steal your food.
MAN #3,You're not stealing
MAN #3,You heading south?
ARYA,King's Landing.
MAN #2,Poor girl.The men chuckle.
ARYA,Not so bad
MAN #3,Depends on your taste
MAN #2,All my life
MAN #3,The people who live there
MAN,Worst place in the world.
ARYA,What are you doing in the Riverlands?
MAN #3,There's been some trouble with the Freys up at The Twins
MAN #2,Here you go. Guests first.MAN #2 passes ARYA a cooked rabbit.
ARYA,Oh
ARYA,You're a long way from home. I'm sure you've had some adventures
MAN #2,Yeah
MAN #2,I just think about my dad out there on his boat all alone. I ought o be out there with him.
MAN #3,My wife's just had our first baby.
ARYA,Boy or girl?
MAN #3,Oh
MAN #3,I hope it's a girl.
ARYA,Why?
MAN #3,Girls take care of their papas when their papas grow old. Boys just go off to fight in someone else's wars.
MAN #2,Are you old enough to drink?ARYA nods. MAN #2 passes a skin of wine to ARYA. She uncorks it and drinks.
MAN #2,It's blackberry wine. I made it myself.
ARYA,It's really good.
MAN #3,So
ARYA,I'm going to kill the queen.The men fall silent
THOROS,Bad night to be outdoors.
SANDOR,"You've got real powerful magic to figure that out. Did the Lord of Light whisper that in your ear? ""It's snowing"
THOROS,You're a grouchy old bear
SANDOR,Don't like that shit. It's too sweet.
THOROS,Why are you always in such a foul mood?
SANDOR,Experience.The horses all stop.
BERIC,This seems like a good place to spend the night.They all stare at a nearby farmhouse.
SANDOR,These people don't want us here.
BERIC,Seems deserted to me. No livestock. No smoke coming from the chimney.BERIC urges his horse onward. The others follow.
SANDOR,I don't like the look of it.THOROS dismounts his horse.
THOROS,For a big
SANDOR,I'll tell you what doesn't scare me--bald cocksuckers like you. You think you're fooling anyone with that top knot? Bald cunt.THOROS smiles.
THOROS,Come on. Maybe they've got some ale hidden away.
SANDOR,They don't.CUT TO: RIVERLANDS - FARMHOUSE Some of the Brothers enter the farmhouse
THOROS,See if there's a larder. They always leave something behind.The Brothers rummage around the farmhouse. SANDOR enters.
BERIC,How do you think it ended for them?
SANDOR,With death.
BERIC,Girl died in her father's arms. Both of them covered in blood and a knife at their feet. I'd say they were starving. And rather than letting his little girl suffer
SANDOR,Doesn't matter now.
BERIC,No
SANDOR,I've known you a long time
BERIC,Aye. I think the first time we met was at that tournament--
SANDOR,And I always thought you were dull as dirt.BERIC chuckles.
SANDOR,You're not bad. I don't hate you. Don't like
BERIC,Thank you
SANDOR,But there's nothing special about you.
BERIC,You're right about that.
SANDOR,So why does the Lord of Light keep bringing you back? I've met better men than you
BERIC,You think I don't ask myself that? Every hour of every day? Why am I here? What am I supposed to do? What does the Lord see in me?
SANDOR,And?
BERIC,I don't know. I don't understand our Lord.
SANDOR,Your Lord.
BERIC,I don't know what He wants from me. I only know that He wants me alive.
SANDOR,If he's so all-powerful
THOROS,Clegane.SANDOR looks at THOROS
THOROS,Come over here. Don't worry. The fire won't bite. I want to show you something.
SANDOR,It's my fucking luck I end up with a band of fire worshippers.
BERIC,Aye. Almost seems like divine justice.
SANDOR,There's no divine justice
SANDOR,What do you want?
THOROS,Look into the flames.
SANDOR,I don't want to look in the damn flames.
THOROS,You saw me bring him back from the dead after you cut him down. Don't you want to know what gave me the power?
SANDOR,I keep asking and no one wants to tell me.
THOROS,We can't tell you. Only the fire can tell you.SANDOR approaches the fire and looks into it.
THOROS,What do you see?
SANDOR,Logs burning.
THOROS,Keep looking. What do you see?SANDOR's face twists.
SANDOR,Ice. A wall of ice. The Wall.
THOROS,What else?
SANDOR,It's where the Wall meets the sea. There's a castle there.The fire crackles.
SANDOR,There's a mountain. Looks like an arrowhead. The dead are marching past.BERIC stands and approaches the fire.
SANDOR,Thousands of them.
BERIC,Do you believe me now
THOROS,What the hell are you doing
SANDOR,Burying the dead.SANDOR walks over to the body of the child
